Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,2.098376,2.131354,2.072882,2.104945,2.104945,10507323
2023-05-06,2.100808,2.110658,2.056035,2.087172,2.087172,9877817
2023-05-07,2.087330,2.097953,2.048046,2.052091,2.052091,11986083
2023-05-08,2.051024,2.052481,1.990419,2.046722,2.046722,13032370
2023-05-09,2.047458,2.047834,1.902354,1.988930,1.988930,21037530
2023-05-10,1.988966,2.000651,1.941565,1.986807,1.986807,15040508
2023-05-11,1.986553,1.993887,1.920663,1.944735,1.944735,16934308
2023-05-12,1.945321,1.946704,1.783707,1.856334,1.856334,21921957
2023-05-13,1.856700,1.885501,1.838941,1.884451,1.884451,13975497
2023-05-14,1.882075,2.007680,1.855964,2.002828,2.002828,14837162
2023-05-15,2.003044,2.017053,1.948886,2.003191,2.003191,17616996
2023-05-16,2.003408,2.006806,1.971766,1.997317,1.997317,12289445
2023-05-17,1.996939,2.007668,1.962577,1.965871,1.965871,10961100
2023-05-18,1.966438,1.969626,1.895882,1.911588,1.911588,10901899
2023-05-19,1.911546,1.911546,1.890688,1.891213,1.891213,9155783
2023-05-20,1.891324,1.894271,1.877567,1.878765,1.878765,6714648
2023-05-21,1.878739,1.884001,1.836942,1.837968,1.837968,8618423
2023-05-22,1.838352,1.847644,1.815910,1.846937,1.846937,9020653
2023-05-23,1.846978,2.052039,1.840825,2.017071,2.017071,15871238
2023-05-24,2.017139,2.032794,1.955031,1.970067,1.970067,13300816
2023-05-25,1.969893,1.971818,1.927861,1.929871,1.929871,9984752
2023-05-26,1.929854,1.929854,1.895410,1.915943,1.915943,12936315
2023-05-27,1.915895,1.932809,1.903160,1.927915,1.927915,10709600
2023-05-28,1.927750,1.947967,1.917558,1.920754,1.920754,9830473
2023-05-29,1.920837,1.926826,1.856938,1.861012,1.861012,11235690
2023-05-30,1.860825,1.882647,1.842243,1.867460,1.867460,12750971
2023-05-31,1.867447,1.867447,1.838359,1.841347,1.841347,10328815
2023-06-01,1.840707,1.849122,1.776021,1.782226,1.782226,11431915
2023-06-02,1.782381,1.797813,1.719824,1.745887,1.745887,15191032
2023-06-03,1.745844,1.765039,1.739407,1.743452,1.743452,10176032
2023-06-04,1.743564,1.756296,1.736499,1.750742,1.750742,7320937
2023-06-05,1.751232,1.753114,1.650485,1.661106,1.661106,11756577
2023-06-06,1.661117,1.677071,1.652302,1.673608,1.673608,10881616
2023-06-07,1.672912,1.674096,1.632780,1.637960,1.637960,9400957
2023-06-08,1.637271,1.685383,1.634377,1.673973,1.673973,6928394
2023-06-09,1.674604,1.712287,1.668019,1.703093,1.703093,10303475
2023-06-10,1.703121,1.705486,1.230577,1.489964,1.489964,35489251
2023-06-11,1.490280,1.507272,1.448030,1.499618,1.499618,6632354
2023-06-12,1.499516,1.518643,1.478708,1.515711,1.515711,9178475
2023-06-13,1.515725,1.526352,1.506593,1.510768,1.510768,4628089
2023-06-14,1.510763,1.515180,1.355821,1.389968,1.389968,9874503
2023-06-15,1.389978,1.405611,1.362828,1.397642,1.397642,6993309
2023-06-16,1.397640,1.408423,1.363942,1.401124,1.401124,4860741
2023-06-17,1.401142,1.431460,1.396972,1.406836,1.406836,4451440
2023-06-18,1.406781,1.422518,1.396491,1.413698,1.413698,4252578
2023-06-19,1.413814,1.417635,1.386628,1.388335,1.388335,4982846
2023-06-20,1.388336,1.393162,1.369030,1.388012,1.388012,4965874
2023-06-21,1.387981,1.413956,1.375301,1.376302,1.376302,8668665
2023-06-22,1.376183,1.406573,1.359521,1.372230,1.372230,7244972
2023-06-23,1.372237,1.425021,1.371910,1.389551,1.389551,8015113
2023-06-24,1.389780,1.408520,1.389621,1.407275,1.407275,7602413
2023-06-25,1.407232,1.490933,1.406556,1.470166,1.470166,12563533
2023-06-26,1.469803,1.471719,1.424670,1.432826,1.432826,11608187
2023-06-27,1.432660,1.459369,1.393940,1.393940,1.393940,10712526
2023-06-28,1.392749,1.399786,1.368735,1.372214,1.372214,7798972
2023-06-29,1.372204,1.381536,1.349079,1.349676,1.349676,6311209
2023-06-30,1.349662,1.367563,1.303408,1.361300,1.361300,10683681
2023-07-01,1.361280,1.403251,1.358242,1.402351,1.402351,9400499
2023-07-02,1.402524,1.449381,1.395105,1.434091,1.434091,9404319
2023-07-03,1.434193,1.445727,1.427471,1.439785,1.439785,7946102
2023-07-04,1.439542,1.440950,1.385620,1.389983,1.389983,8012007
2023-07-05,1.390064,1.393093,1.366193,1.379419,1.379419,5875828
2023-07-06,1.379397,1.395258,1.360241,1.361470,1.361470,8476831
2023-07-07,1.361475,1.379149,1.333890,1.377617,1.377617,8606386
2023-07-08,1.377621,1.392885,1.377323,1.379063,1.379063,7040687
2023-07-09,1.379063,1.380919,1.355988,1.365529,1.365529,7150043
2023-07-10,1.365787,1.382678,1.359732,1.370779,1.370779,5845707
2023-07-11,1.370642,1.374274,1.337694,1.340865,1.340865,6551496
2023-07-12,1.340836,1.345734,1.317401,1.318595,1.318595,6161636
2023-07-13,1.318590,1.362156,1.313772,1.356011,1.356011,8819304
2023-07-14,1.356006,1.366230,1.336070,1.359696,1.359696,9174844
2023-07-15,1.359699,1.360158,1.335721,1.356469,1.356469,7068860
